CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
10576540,03/08/2019 12:10:00 AM,03/09/2019 09:51:10 AM,03/09/2019 09:51:10 AM,Closed,"Encampment Removed
Close Note:",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of 15TH ST and ALBION ST,15TH ST,8,Mission Dolores,MISSION,37.766464233398,-122.423278808594,"(37.76646423, -122.42327881)",Phone,
10576542,03/08/2019 12:12:49 AM,03/08/2019 07:32:05 AM,03/08/2019 07:32:05 AM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"900 TAYLOR ST, SAN FRANCISCO, CA, 94108",TAYLOR ST,3,Nob Hill,CENTRAL,37.790858,-122.412266,"(37.790858, -122.412266)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576542/photos
10576548,03/08/2019 12:23:00 AM,03/08/2019 03:22:49 AM,03/08/2019 03:22:49 AM,Closed,Officer responded to request under CAD # 190670085.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Gold - Honda CRV - Iowa 926WPK,"1200 WASHINGTON ST, SAN FRANCISCO, CA, 94108",WASHINGTON ST,3,Nob Hill,CENTRAL,37.794271666667,-122.413375,"(37.79427167, -122.413375)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576548/photos
10576550,03/08/2019 12:26:38 AM,03/08/2019 12:26:40 AM,03/08/2019 12:26:40 AM,Closed,Any request with criminal activity  cannot be handled by 311 and must be called to police at 415-553-0123 as more details are required to be able to dispatch police accordingly,HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"350 RHODE ISLAND ST, SAN FRANCISCO, CA, 94103",RHODE ISLAND ST,10,Potrero Hill,SOUTHERN,37.765308488339,-122.402625170517,"(37.76530849, -122.40262517)",Web,
10576552,03/08/2019 12:29:39 AM,03/18/2019 09:37:00 AM,03/18/2019 09:37:00 AM,Closed,,Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"3388 19TH ST, SAN FRANCISCO, CA, 94110",19TH ST,9,Mission,MISSION,37.7603652,-122.4190216,"(37.7603652, -122.4190216)",Web,
10576554,03/08/2019 12:41:00 AM,03/11/2019 07:06:00 AM,03/11/2019 07:06:00 AM,Closed,03/08/2019    @1300  HRS #   62,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"1775 11TH AVE, SAN FRANCISCO, CA, 94122",11TH AVE,7,Golden Gate Heights,TARAVAL,37.755108333333,-122.467871666667,"(37.75510833, -122.46787167)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576554/photos
10576561,03/08/2019 12:58:00 AM,03/08/2019 03:47:57 AM,03/08/2019 03:47:57 AM,Closed,Officer responded to request under CAD # 190670087. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,silver  - Audi - SFClient,"21 COLUMBIA SQUARE ST, SAN FRANCISCO, CA, 94103",COLUMBIA SQUARE ST,6,South of Market,SOUTHERN,37.77762087,-122.40604545,"(37.77762087, -122.40604545)",Phone,
10576563,03/08/2019 01:12:28 AM,03/31/2019 01:38:46 PM,03/31/2019 01:38:46 PM,Closed,"Due to the implementation of Prop-E, resources are being
focused into priority 1 and priority 2 tree pruning requests as identified in
the recent tree census. A block pruning plan is in place for all of San
Francisco and maintenance of your tree will take place under these scheduled
routes. Your tree will be addressed at a later date under this scheduled
maintenance plan. Thank you for your patie",DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,Intersection of GOLDEN GATE AVE and PARKER AVE,GOLDEN GATE AVE,1,Lone Mountain,PARK,37.7768565,-122.4532048,"(37.7768565, -122.4532048)",Web,
10576566,03/08/2019 01:25:00 AM,03/08/2019 03:47:43 AM,03/08/2019 03:47:43 AM,Closed,Officer responded to request under CAD # 190670236. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,Silver - Audi convertible silver couple - SF Client,"21 COLUMBIA SQUARE ST, SAN FRANCISCO, CA, 94103",COLUMBIA SQUARE ST,6,South of Market,SOUTHERN,37.777525399115,-122.405957101164,"(37.7775254, -122.4059571)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576566/photos
10576570,03/08/2019 01:49:09 AM,03/08/2019 06:29:54 AM,03/08/2019 06:29:54 AM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1085 OFARRELL ST, SAN FRANCISCO, CA, 94109",OFARRELL ST,5,Cathedral Hill,NORTHERN,37.784671666667,-122.422133333333,"(37.78467167, -122.42213333)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576570/photos
10576572,03/08/2019 01:53:00 AM,03/08/2019 05:30:18 PM,03/08/2019 05:30:18 PM,Closed,VAN NESS BRT SENT TO SFMTA  - VAN NESS BRT SENT TO SFMTA,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of VAN NESS AVE and SUTTER ST,VAN NESS AVE,3,Lower Nob Hill,NORTHERN,37.787548065186,-122.421760559082,"(37.78754807, -122.42176056)",Phone,
10576573,03/08/2019 01:54:56 AM,03/08/2019 06:33:16 AM,03/08/2019 06:33:16 AM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1001 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,5,Cathedral Hill,NORTHERN,37.78493,-122.421486666667,"(37.78493, -122.42148667)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576573/photos
10576579,03/08/2019 02:10:00 AM,03/08/2019 04:33:00 PM,03/08/2019 04:33:00 PM,Closed,"Giselle Romo "" I emailed the customer all the information regarding marriage and requirements""",County Clerk - G,General Request - COUNTY CLERK,other,county_clerk - other,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
10576584,03/08/2019 02:53:00 AM,,03/08/2019 03:15:04 AM,Open,open,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Unsafe_Operation,106_Collision,Intersection of TURK ST and JONES ST,TURK ST,6,Tenderloin,TENDERLOIN,37.783004760742,-122.412414550781,"(37.78300476, -122.41241455)",Phone,
10576585,03/08/2019 03:00:00 AM,03/13/2019 04:03:05 PM,03/13/2019 04:03:05 PM,Closed,Customer may follow up with Muni Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,201_Pass_Up_Did_Not_Wait_for_Transferee,Intersection of 5TH ST and MARKET ST,5TH ST,6,Downtown / Union Square,TENDERLOIN,37.783992767334,-122.408065795898,"(37.78399277, -122.4080658)",Phone,
10576594,03/08/2019 04:00:00 AM,03/20/2019 02:02:00 PM,03/20/2019 02:02:00 PM,Closed,DUE TO THE ELAPSE IN TIME UNABLE TO RESOLVE THIS CASE.,SFMTA - Parking Enforcement - G,Parking Enforcement,Other_Illegal_Parking,Maroon - Red Buick - 4lg348,"1547 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,6,South of Market,SOUTHERN,37.771254759317,-122.414523773009,"(37.77125476, -122.41452377)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576594/photos
10576617,03/08/2019 04:44:00 AM,03/08/2019 04:34:00 PM,03/08/2019 04:34:00 PM,Closed,,311 Supervisor Queue,Noise Report,construction_public,Noise Report - construction_public,Intersection of BUSH ST and STOCKTON ST,BUSH ST,3,Downtown / Union Square,CENTRAL,37.790367126465,-122.407135009766,"(37.79036713, -122.40713501)",Phone,
10576625,03/08/2019 04:55:00 AM,03/08/2019 12:59:00 PM,03/08/2019 12:59:00 PM,Closed,,DPW Ops Queue,Street Defects,Pavement_Defect,Pavement_Defect,"1450 33RD AVE, SAN FRANCISCO, CA, 94122",33RD AVE,4,Outer Sunset,TARAVAL,37.760116,-122.491723,"(37.760116, -122.491723)",Mobile/Open311,
10576629,03/08/2019 05:04:43 AM,03/09/2019 09:01:31 AM,03/09/2019 09:01:31 AM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"4024 MISSION ST, SAN FRANCISCO, CA, 94112",MISSION ST,8,St. Mary's Park,INGLESIDE,37.73325,-122.427164,"(37.73325, -122.427164)",Web,
10576630,03/08/2019 05:06:07 AM,03/08/2019 02:13:12 PM,03/08/2019 02:13:12 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"176 COLLEGE AVE, SAN FRANCISCO, CA, 94112",COLLEGE AVE,8,St. Mary's Park,INGLESIDE,37.7352017,-122.4251166,"(37.7352017, -122.4251166)",Web,
10576631,03/08/2019 05:07:36 AM,03/08/2019 04:13:48 PM,03/08/2019 04:13:48 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"3569 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9,Holly Park,INGLESIDE,37.739504,-122.4236537,"(37.739504, -122.4236537)",Web,
10576633,03/08/2019 05:08:46 AM,03/08/2019 02:14:45 PM,03/08/2019 02:14:45 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"3716 25TH ST, SAN FRANCISCO, CA, 94110",25TH ST,8,Dolores Heights,MISSION,37.7504397,-122.4232344,"(37.7504397, -122.4232344)",Web,
10576634,03/08/2019 05:09:30 AM,03/08/2019 04:13:49 PM,03/08/2019 04:13:49 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,"3310 25TH ST, SAN FRANCISCO, CA, 94110",25TH ST,9,Mission,MISSION,37.750867,-122.4165347,"(37.750867, -122.4165347)",Web,
10576636,03/08/2019 05:11:34 AM,03/08/2019 02:12:22 PM,03/08/2019 02:12:22 PM,Closed,Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"3038 26TH ST, SAN FRANCISCO, CA, 94110",26TH ST,9,Mission,MISSION,37.7496594,-122.4105262,"(37.7496594, -122.4105262)",Web,
10576644,03/08/2019 05:23:00 AM,03/13/2019 04:03:04 PM,03/13/2019 04:03:04 PM,Closed,Customer may follow up with Muni Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,201_Pass_Up_Did_Not_Wait_for_Transferee,Intersection of COLUMBUS AVE and FILBERT ST,COLUMBUS AVE,3,Russian Hill,CENTRAL,37.801124572754,-122.411376953125,"(37.80112457, -122.41137695)",Phone,
10576650,03/08/2019 05:38:00 AM,03/10/2019 12:11:07 PM,03/10/2019 12:11:07 PM,Closed,"Agencies responded to request and no encampment in area. Area verified clean.
Close Note: GOA",Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"118 CHURCH ST, SAN FRANCISCO, CA, 94114",CHURCH ST,8,Duboce Triangle,PARK,37.769018,-122.429459,"(37.769018, -122.429459)",Mobile/Open311,
10576653,03/08/2019 05:42:00 AM,03/08/2019 07:00:02 PM,03/08/2019 07:00:02 PM,Closed,Pickup completed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"880 CLIPPER ST, SAN FRANCISCO, CA, 94114",CLIPPER ST,8,Upper Market,MISSION,37.746931,-122.443485,"(37.746931, -122.443485)",Mobile/Open311,http://mobile311.sfgov.org/reports/10576653/photos
10576654,03/08/2019 05:44:00 AM,03/12/2019 12:25:24 AM,03/12/2019 12:25:24 AM,Closed,,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"952 SUTTER ST, SAN FRANCISCO, CA, 94109",SUTTER ST,3,Lower Nob Hill,CENTRAL,37.788364528714,-122.416122621039,"(37.78836453, -122.41612262)",Mobile/Open311,
