"DATE","SITE","AIRCRAFT","TIME","AvgERROR","RadERROR","site"
103,0,0,12,141.1,1693,"PAX RIVER"
103,0,0,10,150.3,1503,"PAX RIVER"
103,0,0,8,152.3,1218,"PAX RIVER"
103,0,0,11,243.1,2674,"PAX RIVER"
103,0,0,23,132.8,3054,"PAX RIVER"
103,0,0,3,52.7,158,"PAX RIVER"
103,0,0,5,170.8,854,"PAX RIVER"
103,0,0,21,136.4,2864,"PAX RIVER"
103,0,0,25,159.5,3987,"PAX RIVER"
103,0,0,3,116,348,"PAX RIVER"
103,0,0,8,146.4,1171,"PAX RIVER"
103,0,0,10,128.2,1282,"PAX RIVER"
103,0,0,4,31.8,127,"PAX RIVER"
103,0,0,13,175.3,2279,"PAX RIVER"
103,0,0,11,152.5,1677,"PAX RIVER"
103,0,0,4,190,760,"PAX RIVER"
103,0,0,4,122.8,491,"PAX RIVER"
103,0,0,33,79.1,2611,"PAX RIVER"
104,0,0,10,39.6,396,"PAX RIVER"
104,0,0,9,0,0,"PAX RIVER"
104,0,0,5,0,0,"PAX RIVER"
104,0,0,25,141.8,3544,"PAX RIVER"
104,0,0,19,45.8,870,"PAX RIVER"
104,0,0,4,142.5,570,"PAX RIVER"
104,0,0,9,161.8,1456,"PAX RIVER"
104,0,0,12,154.3,1851,"PAX RIVER"
103,0,1,26,152.8,3972,"PAX RIVER"
103,0,1,27,60.4,1630,"PAX RIVER"
103,0,1,47,63.3,2975,"PAX RIVER"
103,0,1,61,89.2,5443,"PAX RIVER"
103,0,1,24,73.2,1756,"PAX RIVER"
103,0,1,19,107.4,2041,"PAX RIVER"
104,0,1,20,451,9019,"PAX RIVER"
104,0,1,15,58,870,"PAX RIVER"
104,0,1,28,105.1,2943,"PAX RIVER"
104,0,1,14,53.1,744,"PAX RIVER"
104,0,1,23,43.4,997,"PAX RIVER"
104,0,1,15,66.7,1000,"PAX RIVER"
104,0,1,26,70,1820,"PAX RIVER"
123,1,0,8,96.9,775,"KEY WEST"
123,1,0,11,172.6,1899,"KEY WEST"
123,1,0,33,158.2,5222,"KEY WEST"
123,1,0,79,253.4,20020,"KEY WEST"
123,1,0,49,72.7,3560,"KEY WEST"
123,1,0,34,178.7,6076,"KEY WEST"
123,1,0,32,219.1,7010,"KEY WEST"
124,1,0,10,69.6,696,"KEY WEST"
124,1,0,11,153.9,1693,"KEY WEST"
124,1,0,33,34,1123,"KEY WEST"
124,1,0,59,163.9,9668,"KEY WEST"
124,1,0,57,181.3,10333,"KEY WEST"
124,1,0,38,75,2848,"KEY WEST"
125,1,0,9,22.9,206,"KEY WEST"
125,1,0,37,39.8,1472,"KEY WEST"
125,1,0,47,303.3,14257,"KEY WEST"
125,1,0,46,285.5,13133,"KEY WEST"
125,1,0,67,249.6,16725,"KEY WEST"
125,1,0,21,442.9,9300,"KEY WEST"
123,1,1,47,129.8,6100,"KEY WEST"
123,1,1,39,166.4,6488,"KEY WEST"
123,1,1,26,167.4,4351,"KEY WEST"
124,1,1,10,169.3,1693,"KEY WEST"
124,1,1,12,0,0,"KEY WEST"
124,1,1,32,139.9,4478,"KEY WEST"
124,1,1,44,449.2,19763,"KEY WEST"
124,1,1,52,149.1,7753,"KEY WEST"
124,1,1,41,446.2,18292,"KEY WEST"
125,1,1,10,193,1930,"KEY WEST"
125,1,1,34,167.5,5696,"KEY WEST"
125,1,1,44,61.9,2722,"KEY WEST"
125,1,1,49,205.1,10048,"KEY WEST"
125,1,1,71,207,14700,"KEY WEST"
125,1,1,22,88.5,1946,"KEY WEST"
125,1,1,21,277.3,5823,"KEY WEST"
