Complete	Censored	HZ.Class	Enter.Mex	Enter.US	SOIL.TYPE.x	North	East	Discovery.Date	Shoring	Lights	Dewater	Vent	SIZE.CLASS	DiscDate.DDMMYYYY	Mosaic	Mosaic5	Loc	CLen
Incomplete	None	B2	Bldg	Bldg	Sandy Clay	32.66594444	115.4814444	9/12/2003	Y	Y	N	Y	B	12/9/2003	Sophisticated	Sophisticated	Other	Long
Incomplete	None	B1	Bldg	Unk	Sandy Clay	32.66644444	115.4789444	11/12/2003	Y	N	N	N	B	12/11/2003	Crude	"Crude, Other"	Other	Long
Complete	None	B3	Bldg	Bldg	Sandy Clay	32.66636111	115.4776944	2/25/2005	Y	Y	Y	Y	B	25/02/2005	Sophisticated	Sophisticated	Other	Long
Complete	None	B3	Bldg	Bldg	Sandy Clay	32.67638889	115.5041667	9/15/2006	Y	Y	N	Y	B	15/09/2006	Sophisticated	Sophisticated	Other	Long
Incomplete	None	B2	Bldg	Unk	Sandy Clay	32.665056	115.476097	9/1/2008	Y	Y	N	Y	B	1/9/2008	Sophisticated	Sophisticated	Other	Long
Incomplete	None	B2	Unk	Unk	Sandy Clay	-1	-1	10/24/2008	Y	Y	N	Y	B	24/10/2008	Sophisticated	Sophisticated	Other	Long
Complete	None	B3	Bldg	Bldg	Sandy Clay	31.34388889	109.5527778	5/17/1990	Y	Y	Y	Y	B	17/05/1990	Sophisticated	Sophisticated	Other	Long
Complete	NA		Outside	Sewer		-1	-1	4/7/2009	N	N	N	N		7/4/2009	Infra	"Infra, Other"	Other	Tiny
Incomplete	None	A1	Outside	Unk	Sandy Clay	-1	-1	4/29/2002	N	N	N	N	A	29/04/2002	Crude	"Crude, Other"	SoCal	Medium
Complete	NA		Outside	Sewer		-1	-1	3/29/2009	N	N	N	N		29/03/2009	Infra	"Infra, Other"	SoCal	Tiny
Complete	None	B3	Bldg	Bldg	Sandy Clay	49.02327778	122.4823306	7/20/2005	Y	Y	Y	Y	B	20/07/2005	Sophisticated	Sophisticated	Other	Long
Complete	None	B2	Bldg	Bldg	Sandy Clay	31.34333333	109.9713889	5/1/1999	Y	N	N	N	B	1/5/1999	Sophisticated	Sophisticated	Other	Long
Complete	None	A1	Sewer	Bldg	Sandstone	31.33305556	110.9422222	9/1/1995	Y	N	N	N	A	1/9/1995	Infra	"Infra, Nogales"	NGL	Medium
Complete	None	B2	Sewer	Bldg	Sandstone	31.33305556	110.9422222	1/20/1999	N	Y	N	Y	B	20/01/1999	Infra	"Infra, Nogales"	NGL	Long
Complete	None	B2	Bldg	Bldg	Decomposed Granite	31.33305556	110.9422222	1/20/1999	Y	Y	N	N	B	20/01/1999	Infra	"Infra, Nogales"	NGL	Medium
Complete	None	A1	Sewer	Bldg	Sandstone	31.33305556	110.9422222	10/21/1999	N	N	N	N	A	21/10/1999	Infra	"Infra, Nogales"	NGL	Medium
Incomplete	Right	A1	Sewer	Bldg	Sandstone	-1	-1	10/22/1999	N	N	N	N	A	22/10/1999	Infra	"Infra, Nogales"	NGL	Medium
Complete	Right	A1	Sewer	Bldg	Sandstone	31.33305556	110.9422222	5/16/2000	Y	N	N	N	A	16/05/2000	Infra	"Infra, Nogales"	NGL	Short
Complete	None	A1	Sewer	Bldg	Sandstone	31.34055	110.93325	6/29/2000	N	N	N	N	A	29/06/2000	Infra	"Infra, Nogales"	NGL	Short
Complete	None	A1	Sewer	Bldg	Sandstone	31.34055	110.9325778	2/26/2001	N	Y	N	N	A	26/02/2001	Infra	"Infra, Nogales"	NGL	Short
Incomplete	None	A1	Outside	Unk	Sandstone	31.33295	110.9317694	9/4/2001	N	N	N	N	A	4/9/2001	Crude	"Crude, Nogales"	NGL	Tiny
Complete	None	A1	Outside	Bldg	Decomposed Granite	31.33311944	110.9458	12/11/2001	N	N	N	N	A	11/12/2001	Crude	"Crude, Nogales"	NGL	Medium
Incomplete	None	A1	Sewer	Unk	Sandstone	31.33311944	110.9458	1/21/2002	N	N	N	N	A	21/01/2002	Infra	"Infra, Nogales"	NGL	Tiny
Complete	None	B1	Sewer	Outside	Sandstone	31.33316944	110.9443333	4/15/2002	N	Y	N	N	B	15/04/2002	Infra	"Infra, Nogales"	NGL	Medium
Complete	Right	A1	Bldg	Outside	Sandstone	-1	-1	12/27/2002	N	N	N	N	A	27/12/2002	Infra	"Infra, Nogales"	NGL	Tiny
Complete	None		Outside	Sewer	Sandstone	-1	-1	1/11/2003	N	N	N	N		11/1/2003	Infra	"Infra, Nogales"	NGL	Short
Complete	None	B3	Bldg	Bldg	Decomposed Granite	31.33638889	110.9480694	9/12/2003	Y	Y	N	Y	B	12/9/2003	Sophisticated	Sophisticated	NGL	Long
Complete	None		Unk	Sewer	Sandstone	31.33236111	110.9446667	11/18/2003	N	N	N	N		18/11/2003	Infra	"Infra, Nogales"	NGL	Short
Incomplete	None		Bldg	Sewer	Sandstone	31.33310833	110.9451278	3/1/2005	N	N	N	N		1/3/2005	Infra	"Infra, Nogales"	NGL	Long
Incomplete	Right	A1	Unk	Bldg	Sandstone	31.33277778	110.9403306	3/15/2005	N	N	N	N	A	15/03/2005	Crude	"Crude, Nogales"	NGL	Medium
Complete	None		Outside	Sewer	Sandstone	31.32777778	110.9452778	8/11/2005	N	N	N	N		11/8/2005	Infra	"Infra, Nogales"	NGL	Medium
Incomplete	None	A1	Bldg	Unk	Sandstone	31.33311944	110.9400444	10/29/2005	N	N	N	N	A	29/10/2005	Crude	"Crude, Nogales"	NGL	Medium
Complete	None		Sewer	Bldg	Sandstone	31.33311944	110.9458	10/31/2005	N	N	N	N		31/10/2005	Infra	"Infra, Nogales"	NGL	Medium
UNK	None	B1			Decomposed Granite	-1	-1	3/1/2006	Y	Y	N	N	B	1/3/2006	Crude	"Crude, Nogales"	NGL	Long
Incomplete	None	B1	Outside	Outside	Sandstone	31.33309	110.94554	3/2/2006	N	Y	N	Y	B	2/3/2006	Infra	"Infra, Nogales"	NGL	Medium
Incomplete	None	B1	Bldg	Unk	Decomposed Granite	-1	-1	3/4/2006	N	N	N	N	B	4/3/2006	Crude	"Crude, Nogales"	NGL	Long
Complete	Right	A1	Unk	Unk	Sandstone	-1	-1	1/6/2007	N	N	N	N	A	6/1/2007	Crude	"Crude, Nogales"	NGL	Medium
Incomplete	None	A1	Bldg	Unk	Decomposed Granite	31.33311944	110.9458	1/10/2007	N	N	N	N	A	10/1/2007	Crude	"Crude, Nogales"	NGL	Tiny
Incomplete	None	A1	Sewer	Outside	Sandstone	31.333	110.9441694	2/8/2007	N	N	N	N	A	8/2/2007	Infra	"Infra, Nogales"	NGL	Short
Complete	None	A1	Sewer	Bldg	Sandstone	-1	-1	4/19/2007	N	N	N	N	A	19/04/2007	Infra	"Infra, Nogales"	NGL	Short
Complete	None	B1	Bldg	Bldg	Decomposed Granite	31.33327	110.93431	6/28/2007	Y	Y	N	N	B	28/06/2007	Crude	"Crude, Nogales"	NGL	Long
Complete	None	A1	Sewer	Bldg	Sandstone	31.33782	110.93935	6/29/2007	N	N	N	N	A	29/06/2007	Infra	"Infra, Nogales"	NGL	Tiny
Complete	None	A1	Sewer	Bldg	Decomposed Granite	31.34419444	110.9597778	7/11/2007	N	N	N	N	A	11/7/2007	Infra	"Infra, Nogales"	NGL	Medium
Complete	None	A1	Sewer	Bldg	Sandstone	-1	-1	7/29/2007	N	Y	N	Y	A	29/07/2007	Infra	"Infra, Nogales"	NGL	Short
