"Key"	"Tunnel.Name.x"	"BORFIC"	"LENGTH.x"	"Corrected.Length"	"Approx.Length"	"Complete"	"Censored"	"HZ.Class"	"Enter.Mex"	"Enter.US"	"Infrastructure"	"Tunnel"	"Nogales"	"SOIL.TYPE.x"	"North"	"East"	"Discovery.Date"	"Width"	"Height"	"Depth"	"Volume"	"Three.Letter"	"AVERAGE.WIDTH.y"	"AVERAGE.HEIGHT.y"	"AVERAGE.DEPTH.y"	"Shoring"	"Lights"	"Dewater"	"Vent"	"SIZE.CLASS"	"DiscDate.DDMMYYYY"	"SOPH"	"Mosaic"	"Mosaic5"	"Loc"
"CAX 2003-0912"	"Calexico #1"	330	490	490	452	"Incomplete"	"None"	"B2"	"Bldg"	"Bldg"	0	0	FALSE	"Sandy Clay"	32.6659444444444	115.481444444444	"09/12/2003"	1.5	4	14	1980	"CAX"	2	4	14	"y"	"y"	"n"	"y"	"B"	"12/09/2003"	2	"Sophisticated"	"Sophisticated"	"Other"
"CAX 2003-1112"	"Calexico #2"	-1	170	170	168	"Incomplete"	"None"	"B1"	"Bldg"	"Unk"	0	0	FALSE	"Sandy Clay"	32.6664444444444	115.478944444444	"11/12/2003"	-1	-1	12	0	"CAX"	2.5	2.5	10	"y"	"0"	"n"	"n"	"B"	"12/11/2003"	1	"Crude"	"Crude, Other"	"Other"
"CAX 2005-0225"	"Calexico #3"	590	600	600	623	"Complete"	"None"	"B3"	"Bldg"	"Bldg"	0	0	FALSE	"Sandy Clay"	32.6663611111111	115.477694444444	"02/25/2005"	3	5	15	8850	"CAX"	3	5.5	15	"y"	"y"	"y"	"y"	"B"	"25/02/2005"	3	"Sophisticated"	"Sophisticated"	"Other"
"CAX 2006-0915"	"Calexico #4"	440	350	440	327	"Complete"	"None"	"B3"	"Bldg"	"Bldg"	0	0	FALSE	"Sandy Clay"	32.6763888888889	115.504166666667	"09/15/2006"	3.33	3.5	9	4662	"CAX"	3.5	3.5	10	"y"	"y"	"n"	"y"	"B"	"15/09/2006"	3	"Sophisticated"	"Sophisticated"	"Other"
"CAX 2008-0901"	"Calexico #5"	-1	434	434	447	"Incomplete"	"None"	"B2"	"Bldg"	"Unk"	0	0	FALSE	"Sandy Clay"	32.665056	115.476097	"09/01/2008"	4.5	5	16	10350	"CAX"	5	5	16.5	"y"	"y"	"n"	"y"	"B"	"01/09/2008"	2	"Sophisticated"	"Sophisticated"	"Other"
"CAX 2008-1024"	"Calexico #6"	-1	440	440	439	"Incomplete"	"None"	"B2"	"Unk"	"Unk"	0	0	FALSE	"Sandy Clay"	-1	-1	"10/24/2008"	4	5	6	12000	"CAX"	2.5	2.5	10	"y"	"y"	"n"	"y"	"B"	"24/10/2008"	2	"Sophisticated"	"Sophisticated"	"Other"
"DGL 1990-0517"	"Douglas"	220	220	220	243	"Complete"	"None"	"B3"	"Bldg"	"Bldg"	0	0	FALSE	"Sandy Clay"	31.3438888888889	109.552777777778	"05/17/1990"	3	5	30	0	"DGL"	3	5	30	"y"	"y"	"y"	"y"	"B"	"17/05/1990"	3	"Sophisticated"	"Sophisticated"	"Other"
"DGL 2009-0407"	"Douglas #2"	-1	-1	-1	-1	"Complete"	NA	""	"Outside"	"Sewer"	1	0	FALSE	""	-1	-1	"04/07/2009"	-1	-1	-1	0	"DGL"	NA	NA	NA	""	""	""	""	""	"07/04/2009"	NA	"Infra"	"Infra, Other"	"Other"
"IMB 2002-0429"	"Imperial Beach #1"	65	65	65	77	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	-1	-1	"04/29/2002"	4	6	-1	1560	"IMB"	4	6	15	"n"	"n"	"n"	"n"	"A"	"29/04/2002"	1	"Crude"	"Crude, Other"	"SoCal"
"IMB 2009-0329"	"Imperial Beach #02"	-1	-1	-1	-1	"Complete"	NA	""	"Outside"	"Sewer"	1	0	FALSE	""	-1	-1	"03/29/2009"	-1	-1	-1	0	"IMB"	NA	NA	NA	""	""	""	""	""	"29/03/2009"	NA	"Infra"	"Infra, Other"	"SoCal"
